Abuse of Authority,Gun pointed,Full Investigation,Officer(s) Unidentified,Staten Island,Staten Island
Discourtesy,Word,Full Investigation,Officer(s) Unidentified,Staten Island,Staten Island
Abuse of Authority,Frisk and/or search,Full Investigation,Officer(s) Unidentified,Staten Island,Staten Island
Abuse of Authority,Frisk and/or search,Full Investigation,Officer(s) Unidentified,Staten Island,Staten Island
Abuse of Authority,Vehicle search,Full Investigation,Officer(s) Unidentified,Staten Island,Staten Island
Force,Physical force,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Threat to damage/seize property,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Question and/or stop,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Threat of force (verbal or physical),Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Refusal to provide name/shield number,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Gun pointed,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Refusal to provide name/shield number,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Person Searched,Full Investigation,Officer(s) Unidentified,Bronx,Bronx
Discourtesy,Word,Full Investigation,Officer(s) Unidentified,Bronx,Bronx
Discourtesy,Word,Full Investigation,Officer(s) Unidentified,Bronx,Bronx
Discourtesy,Word,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
Abuse of Authority,Refusal to provide name/shield number,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
Abuse of Authority,Refusal to provide name/shield number,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
Discourtesy,Nasty Words,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
Force,Physical force,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
Abuse of Authority,Refusal to provide name/shield number,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
Abuse of Authority,Refusal to obtain medical treatment,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
Abuse of Authority,Question and/or stop,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
Abuse of Authority,Frisk and/or search,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
Abuse of Authority,Refusal to provide name/shield number,Full Investigation,Substantiated (Charges),Staten Island,Staten Island
